name,sku,barcode,category,description,selling_price,cost_price,current_stock,min_stock_level,max_stock_level,supplier
"Nuts","SKU000238","8901234000238","Electronics","High quality nuts - Electronics",742,479,166,18,481,"Import Company"
"Face Wash","SKU000239","8901234000239","Beauty & Personal Care","High quality face wash - Beauty & Personal Care",1314,738,295,10,426,"Regional Distributor"
"Headphones","SKU000240","8901234000240","Musical Instruments","High quality headphones - Musical Instruments",1323,919,296,12,146,"Wholesale Dist"
"Wardrobe","SKU000241","8901234000241","Groceries","High quality wardrobe - Groceries",1140,691,33,10,178,"Supplier A"
"Doll","SKU000242","8901234000242","Home & Kitchen","High quality doll - Home & Kitchen",108,55,343,7,425,"Import Company"
"Milk","SKU000243","8901234000243","Furniture","High quality milk - Furniture",1163,684,327,11,299,"Premium Supplier"
"Cricket Bat","SKU000244","8901234000244","Sports & Outdoors","High quality cricket bat - Sports & Outdoors",1242,986,358,8,222,"Premium Supplier"
"Power Bank","SKU000245","8901234000245","Jewelry","High quality power bank - Jewelry",993,591,381,12,255,"Wholesale Dist"
"Doll","SKU000246","8901234000246","Jewelry","High quality doll - Jewelry",83,65,120,20,470,"Regional Distributor"
"Dal","SKU000247","8901234000247","Stationery","High quality dal - Stationery",84,64,311,5,123,"Premium Supplier"
"Wardrobe","SKU000248","8901234000248","Groceries","High quality wardrobe - Groceries",1622,906,488,17,171,"Local Vendor"
"Comic Book","SKU000249","8901234000249","Automotive","High quality comic book - Automotive",860,500,285,9,475,"Regional Distributor"
"Wardrobe","SKU000250","8901234000250","Beauty & Personal Care","High quality wardrobe - Beauty & Personal Care",1318,969,361,20,376,"Bulk Distributor"
"Wheat","SKU000251","8901234000251","Groceries","High quality wheat - Groceries",1866,998,203,20,342,"Direct Manufacturer"
"Building Blocks","SKU000252","8901234000252","Groceries","High quality building blocks - Groceries",656,462,335,16,414,"Supplier A"
"Pasta","SKU000253","8901234000253","Stationery","High quality pasta - Stationery",170,88,249,13,278,"Regional Distributor"
"Milk","SKU000254","8901234000254","Clothing","High quality milk - Clothing",284,162,412,14,128,"Supplier B"
"Measuring Cup","SKU000255","8901234000255","Sports & Outdoors","High quality measuring cup - Sports & Outdoors",845,528,155,17,393,"Direct Manufacturer"
"Face Wash","SKU000256","8901234000256","Clothing","High quality face wash - Clothing",1346,787,372,16,471,"Supplier C"
"Jeans","SKU000257","8901234000257","Pet Supplies","High quality jeans - Pet Supplies",858,543,148,5,174,"Local Vendor"
"Tea","SKU000258","8901234000258","Stationery","High quality tea - Stationery",384,278,110,17,358,"Regional Distributor"
"Whisk","SKU000259","8901234000259","Pet Supplies","High quality whisk - Pet Supplies",981,548,435,15,483,"Supplier C"
"Fruits","SKU000260","8901234000260","Groceries","High quality fruits - Groceries",284,187,304,17,111,"Import Company"
"Monitor","SKU000261","8901234000261","Groceries","High quality monitor - Groceries",844,692,107,7,111,"Wholesale Dist"
"Doll","SKU000262","8901234000262","Pet Supplies","High quality doll - Pet Supplies",1034,755,439,20,170,"Supplier B"
"Oil","SKU000263","8901234000263","Books & Media","High quality oil - Books & Media",506,411,69,13,109,"Supplier A"
"Face Wash","SKU000264","8901234000264","Sports & Outdoors","High quality face wash - Sports & Outdoors",1582,795,215,14,228,"Premium Supplier"
"Wheat","SKU000265","8901234000265","Books & Media","High quality wheat - Books & Media",844,582,477,12,229,"Bulk Distributor"
"Eraser","SKU000266","8901234000266","Health & Wellness","High quality eraser - Health & Wellness",482,395,385,16,135,"Direct Manufacturer"
"Action Figure","SKU000267","8901234000267","Jewelry","High quality action figure - Jewelry",434,353,425,12,427,"Supplier C"
"Nuts","SKU000268","8901234000268","Stationery","High quality nuts - Stationery",1163,727,149,14,131,"Supplier C"
"Wheat","SKU000269","8901234000269","Groceries","High quality wheat - Groceries",204,142,259,8,425,"Wholesale Dist"
"Measuring Cup","SKU000270","8901234000270","Stationery","High quality measuring cup - Stationery",326,255,77,18,439,"Import Company"
"Plate","SKU000271","8901234000271","Toys & Games","High quality plate - Toys & Games",1747,965,260,9,303,"Premium Supplier"
"Tablet","SKU000272","8901234000272","Jewelry","High quality tablet - Jewelry",1497,972,423,12,237,"Direct Manufacturer"
"Spatula","SKU000273","8901234000273","Home & Kitchen","High quality spatula - Home & Kitchen",335,252,349,15,201,"Bulk Distributor"
"Monitor","SKU000274","8901234000274","Pet Supplies","High quality monitor - Pet Supplies",205,123,102,15,256,"Supplier B"
"Speaker","SKU000275","8901234000275","Electronics","High quality speaker - Electronics",930,732,69,8,178,"Supplier A"
"Shelf","SKU000276","8901234000276","Jewelry","High quality shelf - Jewelry",726,526,477,15,308,"Bulk Distributor"
"Jeans","SKU000277","8901234000277","Toys & Games","High quality jeans - Toys & Games",163,90,273,15,323,"Premium Supplier"
"Sugar","SKU000278","8901234000278","Beauty & Personal Care","High quality sugar - Beauty & Personal Care",466,244,466,8,279,"Regional Distributor"
"Wardrobe","SKU000279","8901234000279","Pet Supplies","High quality wardrobe - Pet Supplies",251,128,309,20,453,"Supplier A"
"T-Shirt","SKU000280","8901234000280","Pet Supplies","High quality t-shirt - Pet Supplies",1836,998,269,11,455,"Supplier C"
"Oil","SKU000281","8901234000281","Jewelry","High quality oil - Jewelry",1884,971,144,12,203,"Supplier A"
"Basketball","SKU000282","8901234000282","Musical Instruments","High quality basketball - Musical Instruments",407,318,10,12,115,"Regional Distributor"
"Football","SKU000283","8901234000283","Sports & Outdoors","High quality football - Sports & Outdoors",221,125,476,20,429,"Bulk Distributor"
"Dress","SKU000284","8901234000284","Musical Instruments","High quality dress - Musical Instruments",108,78,490,9,218,"Supplier C"
"Shoes","SKU000285","8901234000285","Beauty & Personal Care","High quality shoes - Beauty & Personal Care",1535,936,137,16,136,"Supplier B"
"Yoga Mat","SKU000286","8901234000286","Health & Wellness","High quality yoga mat - Health & Wellness",541,381,91,9,201,"Local Vendor"
"T-Shirt","SKU000287","8901234000287","Books & Media","High quality t-shirt - Books & Media",1467,965,388,12,424,"Import Company"
"Dress","SKU000288","8901234000288","Groceries","High quality dress - Groceries",1078,781,295,18,264,"Wholesale Dist"
"Desk","SKU000289","8901234000289","Automotive","High quality desk - Automotive",756,442,81,15,344,"Supplier C"
"Bed","SKU000290","8901234000290","Health & Wellness","High quality bed - Health & Wellness",1101,860,197,18,499,"Supplier A"
"Rice","SKU000291","8901234000291","Jewelry","High quality rice - Jewelry",485,307,328,9,182,"Direct Manufacturer"
"Webcam","SKU000292","8901234000292","Toys & Games","High quality webcam - Toys & Games",103,86,85,11,481,"Premium Supplier"
"Wireless Mouse","SKU000293","8901234000293","Furniture","High quality wireless mouse - Furniture",1360,786,358,14,279,"Regional Distributor"
"Spices","SKU000294","8901234000294","Furniture","High quality spices - Furniture",770,393,208,17,128,"Regional Distributor"
"Yoga Mat","SKU000295","8901234000295","Furniture","High quality yoga mat - Furniture",949,641,297,10,369,"Premium Supplier"
"Shampoo","SKU000296","8901234000296","Sports & Outdoors","High quality shampoo - Sports & Outdoors",357,238,33,19,251,"Supplier C"
"Coffee","SKU000297","8901234000297","Electronics","High quality coffee - Electronics",1166,604,244,11,394,"Supplier A"
"Magazine","SKU000298","8901234000298","Jewelry","High quality magazine - Jewelry",79,59,33,5,204,"Direct Manufacturer"
"Milk","SKU000299","8901234000299","Furniture","High quality milk - Furniture",749,451,306,5,427,"Supplier A"
"Plate","SKU000300","8901234000300","Automotive","High quality plate - Automotive",772,454,304,9,241,"Regional Distributor"
"Dumbbell","SKU000301","8901234000301","Toys & Games","High quality dumbbell - Toys & Games",234,117,109,6,304,"Supplier C"
"Shirt","SKU000302","8901234000302","Electronics","High quality shirt - Electronics",209,150,366,20,187,"Premium Supplier"
"Wardrobe","SKU000303","8901234000303","Clothing","High quality wardrobe - Clothing",576,339,445,14,160,"Regional Distributor"
"Tea","SKU000304","8901234000304","Home & Kitchen","High quality tea - Home & Kitchen",947,740,224,12,444,"Regional Distributor"
"Comic Book","SKU000305","8901234000305","Pet Supplies","High quality comic book - Pet Supplies",1047,627,289,19,179,"Bulk Distributor"
"Coffee","SKU000306","8901234000306","Groceries","High quality coffee - Groceries",813,635,112,8,307,"Local Vendor"
"Milk","SKU000307","8901234000307","Jewelry","High quality milk - Jewelry",171,113,59,11,418,"Wholesale Dist"
"Puzzle","SKU000308","8901234000308","Musical Instruments","High quality puzzle - Musical Instruments",706,388,59,9,147,"Import Company"
"Bowl","SKU000309","8901234000309","Books & Media","High quality bowl - Books & Media",682,381,135,18,185,"Premium Supplier"
"Face Wash","SKU000310","8901234000310","Electronics","High quality face wash - Electronics",914,564,372,10,263,"Direct Manufacturer"
"Whisk","SKU000311","8901234000311","Clothing","High quality whisk - Clothing",731,504,303,12,354,"Wholesale Dist"
"Dress","SKU000312","8901234000312","Books & Media","High quality dress - Books & Media",1285,722,410,8,342,"Supplier C"
"Rice","SKU000313","8901234000313","Stationery","High quality rice - Stationery",701,539,391,9,246,"Wholesale Dist"
"Sweater","SKU000314","8901234000314","Musical Instruments","High quality sweater - Musical Instruments",392,267,466,19,225,"Premium Supplier"
"Socks","SKU000315","8901234000315","Toys & Games","High quality socks - Toys & Games",163,119,191,20,177,"Supplier B"
"Webcam","SKU000316","8901234000316","Electronics","High quality webcam - Electronics",882,538,7,6,132,"Bulk Distributor"
"Laptop","SKU000317","8901234000317","Home & Kitchen","High quality laptop - Home & Kitchen",84,51,212,13,130,"Wholesale Dist"
"Socks","SKU000318","8901234000318","Books & Media","High quality socks - Books & Media",1750,967,91,6,463,"Supplier B"
"Jeans","SKU000319","8901234000319","Stationery","High quality jeans - Stationery",367,280,213,16,167,"Wholesale Dist"
"Shoes","SKU000320","8901234000320","Furniture","High quality shoes - Furniture",1074,651,190,10,336,"Supplier C"
"Smartwatch","SKU000321","8901234000321","Stationery","High quality smartwatch - Stationery",906,671,386,16,242,"Local Vendor"
"Cutting Board","SKU000322","8901234000322","Home & Kitchen","High quality cutting board - Home & Kitchen",841,568,470,19,185,"Wholesale Dist"
"Pillow","SKU000323","8901234000323","Health & Wellness","High quality pillow - Health & Wellness",1299,673,34,12,478,"Local Vendor"
"Study Material","SKU000324","8901234000324","Pet Supplies","High quality study material - Pet Supplies",1729,950,375,15,356,"Direct Manufacturer"
"Doll","SKU000325","8901234000325","Automotive","High quality doll - Automotive",580,310,298,11,482,"Supplier B"
"Bread","SKU000326","8901234000326","Musical Instruments","High quality bread - Musical Instruments",1250,641,117,5,374,"Regional Distributor"
"Measuring Cup","SKU000327","8901234000327","Groceries","High quality measuring cup - Groceries",512,388,490,5,379,"Import Company"
"Vegetables","SKU000328","8901234000328","Jewelry","High quality vegetables - Jewelry",1293,951,317,11,264,"Import Company"
"Dress","SKU000329","8901234000329","Automotive","High quality dress - Automotive",301,157,121,11,342,"Bulk Distributor"
"Action Figure","SKU000330","8901234000330","Sports & Outdoors","High quality action figure - Sports & Outdoors",1206,928,287,17,441,"Supplier A"
"Pasta","SKU000331","8901234000331","Electronics","High quality pasta - Electronics",1067,613,221,7,325,"Regional Distributor"
"Laptop","SKU000332","8901234000332","Stationery","High quality laptop - Stationery",183,141,24,14,355,"Import Company"
"Chair","SKU000333","8901234000333","Automotive","High quality chair - Automotive",606,365,479,5,204,"Bulk Distributor"
"Bread","SKU000334","8901234000334","Groceries","High quality bread - Groceries",713,377,438,8,436,"Local Vendor"
"Basketball","SKU000335","8901234000335","Furniture","High quality basketball - Furniture",419,233,250,13,170,"Supplier A"
"Basketball","SKU000336","8901234000336","Electronics","High quality basketball - Electronics",340,205,415,10,157,"Regional Distributor"
"Board Game","SKU000337","8901234000337","Stationery","High quality board game - Stationery",1152,866,399,11,446,"Regional Distributor"
"Underwear","SKU000338","8901234000338","Jewelry","High quality underwear - Jewelry",277,158,375,8,294,"Regional Distributor"
"Yoga Mat","SKU000339","8901234000339","Beauty & Personal Care","High quality yoga mat - Beauty & Personal Care",399,251,405,12,409,"Premium Supplier"
"Pillow","SKU000340","8901234000340","Home & Kitchen","High quality pillow - Home & Kitchen",472,360,198,13,271,"Local Vendor"
"Magazine","SKU000341","8901234000341","Groceries","High quality magazine - Groceries",659,379,42,7,183,"Supplier C"
"Lotion","SKU000342","8901234000342","Beauty & Personal Care","High quality lotion - Beauty & Personal Care",808,673,78,13,294,"Local Vendor"
"Pencil","SKU000343","8901234000343","Home & Kitchen","High quality pencil - Home & Kitchen",214,141,271,17,349,"Regional Distributor"
"Chair","SKU000344","8901234000344","Toys & Games","High quality chair - Toys & Games",1490,772,368,11,397,"Bulk Distributor"
"Dal","SKU000345","8901234000345","Beauty & Personal Care","High quality dal - Beauty & Personal Care",730,462,382,5,217,"Wholesale Dist"
"Laptop","SKU000346","8901234000346","Pet Supplies","High quality laptop - Pet Supplies",704,457,20,18,316,"Wholesale Dist"
"Laptop","SKU000347","8901234000347","Furniture","High quality laptop - Furniture",1467,863,200,20,439,"Regional Distributor"
"Plate","SKU000348","8901234000348","Electronics","High quality plate - Electronics",1160,811,167,19,348,"Supplier A"
"Novel","SKU000349","8901234000349","Electronics","High quality novel - Electronics",684,342,357,14,406,"Supplier C"
"T-Shirt","SKU000350","8901234000350","Sports & Outdoors","High quality t-shirt - Sports & Outdoors",842,643,259,5,460,"Supplier B"
"Towel","SKU000351","8901234000351","Automotive","High quality towel - Automotive",79,56,99,10,445,"Wholesale Dist"
"Shoes","SKU000352","8901234000352","Health & Wellness","High quality shoes - Health & Wellness",1024,726,217,17,391,"Import Company"
"Rice","SKU000353","8901234000353","Home & Kitchen","High quality rice - Home & Kitchen",453,241,137,20,445,"Supplier C"
"Smartphone","SKU000354","8901234000354","Sports & Outdoors","High quality smartphone - Sports & Outdoors",211,113,388,15,145,"Regional Distributor"
"Oil","SKU000355","8901234000355","Automotive","High quality oil - Automotive",1292,687,214,5,333,"Bulk Distributor"
"Lotion","SKU000356","8901234000356","Musical Instruments","High quality lotion - Musical Instruments",500,347,114,12,103,"Local Vendor"
"Conditioner","SKU000357","8901234000357","Clothing","High quality conditioner - Clothing",544,340,7,9,347,"Local Vendor"
"Football","SKU000358","8901234000358","Beauty & Personal Care","High quality football - Beauty & Personal Care",419,297,274,10,122,"Import Company"
"Phone Charger","SKU000359","8901234000359","Groceries","High quality phone charger - Groceries",825,602,236,9,496,"Regional Distributor"
"Table","SKU000360","8901234000360","Electronics","High quality table - Electronics",818,415,19,7,287,"Supplier A"
"Milk","SKU000361","8901234000361","Groceries","High quality milk - Groceries",1167,891,51,8,415,"Wholesale Dist"
"Pencil","SKU000362","8901234000362","Furniture","High quality pencil - Furniture",1454,761,429,19,255,"Bulk Distributor"
"Magazine","SKU000363","8901234000363","Stationery","High quality magazine - Stationery",1073,692,58,12,216,"Direct Manufacturer"
"Vegetables","SKU000364","8901234000364","Pet Supplies","High quality vegetables - Pet Supplies",1668,860,175,11,411,"Supplier B"
"Spices","SKU000365","8901234000365","Stationery","High quality spices - Stationery",1253,971,236,17,492,"Supplier B"
"Deodorant","SKU000366","8901234000366","Stationery","High quality deodorant - Stationery",1168,730,11,14,257,"Supplier A"
"Towel","SKU000367","8901234000367","Electronics","High quality towel - Electronics",954,477,481,16,262,"Direct Manufacturer"
"Action Figure","SKU000368","8901234000368","Furniture","High quality action figure - Furniture",267,207,6,16,133,"Supplier B"
"Ruler","SKU000369","8901234000369","Books & Media","High quality ruler - Books & Media",122,81,452,5,105,"Supplier B"
"Wardrobe","SKU000370","8901234000370","Stationery","High quality wardrobe - Stationery",299,158,8,8,101,"Import Company"
"Wheat","SKU000371","8901234000371","Electronics","High quality wheat - Electronics",631,509,343,9,231,"Import Company"
"Tea","SKU000372","8901234000372","Stationery","High quality tea - Stationery",355,215,95,8,432,"Bulk Distributor"
"Puzzle","SKU000373","8901234000373","Jewelry","High quality puzzle - Jewelry",927,565,377,5,315,"Supplier A"
"Cricket Bat","SKU000374","8901234000374","Electronics","High quality cricket bat - Electronics",993,730,428,14,210,"Direct Manufacturer"
"Utensils","SKU000375","8901234000375","Jewelry","High quality utensils - Jewelry",1317,770,236,9,258,"Supplier B"
"Headphones","SKU000376","8901234000376","Jewelry","High quality headphones - Jewelry",223,119,494,19,334,"Premium Supplier"
"Dress","SKU000377","8901234000377","Pet Supplies","High quality dress - Pet Supplies",690,377,498,17,276,"Bulk Distributor"
"Tablet","SKU000378","8901234000378","Musical Instruments","High quality tablet - Musical Instruments",798,403,488,18,191,"Supplier A"
"Plate","SKU000379","8901234000379","Toys & Games","High quality plate - Toys & Games",1477,742,70,10,182,"Supplier B"
"Underwear","SKU000380","8901234000380","Clothing","High quality underwear - Clothing",853,490,476,12,125,"Supplier A"
"Study Material","SKU000381","8901234000381","Furniture","High quality study material - Furniture",465,310,98,20,360,"Premium Supplier"
"Rice","SKU000382","8901234000382","Furniture","High quality rice - Furniture",842,443,63,7,405,"Import Company"
"Sugar","SKU000383","8901234000383","Pet Supplies","High quality sugar - Pet Supplies",1148,713,485,13,160,"Supplier A"
"Smartwatch","SKU000384","8901234000384","Sports & Outdoors","High quality smartwatch - Sports & Outdoors",781,446,272,6,275,"Import Company"
"Keyboard","SKU000385","8901234000385","Stationery","High quality keyboard - Stationery",427,241,57,7,198,"Supplier C"
"Study Material","SKU000386","8901234000386","Furniture","High quality study material - Furniture",467,371,170,15,268,"Supplier B"
"Rice","SKU000387","8901234000387","Beauty & Personal Care","High quality rice - Beauty & Personal Care",378,284,36,15,103,"Supplier A"
"Oil","SKU000388","8901234000388","Pet Supplies","High quality oil - Pet Supplies",1284,995,465,6,379,"Direct Manufacturer"
"Eraser","SKU000389","8901234000389","Beauty & Personal Care","High quality eraser - Beauty & Personal Care",726,481,191,15,418,"Direct Manufacturer"
"Shoes","SKU000390","8901234000390","Health & Wellness","High quality shoes - Health & Wellness",457,349,315,13,269,"Supplier C"
"Doll","SKU000391","8901234000391","Clothing","High quality doll - Clothing",552,343,192,14,227,"Supplier B"
"Rice","SKU000392","8901234000392","Jewelry","High quality rice - Jewelry",883,669,106,18,451,"Premium Supplier"
"Socks","SKU000393","8901234000393","Health & Wellness","High quality socks - Health & Wellness",1165,681,171,9,320,"Wholesale Dist"
"Pencil","SKU000394","8901234000394","Beauty & Personal Care","High quality pencil - Beauty & Personal Care",938,469,302,9,171,"Supplier A"
"Pasta","SKU000395","8901234000395","Books & Media","High quality pasta - Books & Media",1156,635,458,12,144,"Supplier B"
"Pencil","SKU000396","8901234000396","Automotive","High quality pencil - Automotive",1097,746,455,17,348,"Regional Distributor"
"Vegetables","SKU000397","8901234000397","Stationery","High quality vegetables - Stationery",1290,860,420,14,244,"Supplier B"
"Table","SKU000398","8901234000398","Furniture","High quality table - Furniture",1013,658,173,11,441,"Local Vendor"
"Cricket Bat","SKU000399","8901234000399","Groceries","High quality cricket bat - Groceries",202,120,480,9,490,"Premium Supplier"
"Cricket Bat","SKU000400","8901234000400","Groceries","High quality cricket bat - Groceries",263,212,145,9,468,"Supplier C"
"Doll","SKU000401","8901234000401","Musical Instruments","High quality doll - Musical Instruments",869,695,362,18,466,"Bulk Distributor"
"Smartwatch","SKU000402","8901234000402","Books & Media","High quality smartwatch - Books & Media",207,123,301,17,337,"Supplier A"
"Speaker","SKU000403","8901234000403","Groceries","High quality speaker - Groceries",1265,988,440,13,480,"Regional Distributor"
"Lotion","SKU000404","8901234000404","Beauty & Personal Care","High quality lotion - Beauty & Personal Care",1659,976,192,15,355,"Direct Manufacturer"
"Action Figure","SKU000405","8901234000405","Home & Kitchen","High quality action figure - Home & Kitchen",672,343,276,15,154,"Regional Distributor"
"Wardrobe","SKU000406","8901234000406","Home & Kitchen","High quality wardrobe - Home & Kitchen",1086,658,188,20,252,"Wholesale Dist"
"Sweater","SKU000407","8901234000407","Home & Kitchen","High quality sweater - Home & Kitchen",1150,719,334,5,211,"Import Company"
"Rice","SKU000408","8901234000408","Groceries","High quality rice - Groceries",948,499,53,10,449,"Local Vendor"
"Bowl","SKU000409","8901234000409","Beauty & Personal Care","High quality bowl - Beauty & Personal Care",910,752,354,8,187,"Local Vendor"
"Webcam","SKU000410","8901234000410","Groceries","High quality webcam - Groceries",1816,922,311,16,229,"Premium Supplier"
"Plate","SKU000411","8901234000411","Automotive","High quality plate - Automotive",1327,691,306,18,479,"Supplier B"
"Utensils","SKU000412","8901234000412","Beauty & Personal Care","High quality utensils - Beauty & Personal Care",951,556,36,19,331,"Supplier C"
"Cutting Board","SKU000413","8901234000413","Furniture","High quality cutting board - Furniture",872,535,418,17,334,"Premium Supplier"
"Sweater","SKU000414","8901234000414","Pet Supplies","High quality sweater - Pet Supplies",853,490,47,17,437,"Supplier B"
"Vegetables","SKU000415","8901234000415","Stationery","High quality vegetables - Stationery",109,68,249,6,413,"Premium Supplier"
"Keyboard","SKU000416","8901234000416","Sports & Outdoors","High quality keyboard - Sports & Outdoors",862,603,28,18,424,"Premium Supplier"
"Nuts","SKU000417","8901234000417","Groceries","High quality nuts - Groceries",1122,753,40,10,393,"Bulk Distributor"
"Shelf","SKU000418","8901234000418","Stationery","High quality shelf - Stationery",889,577,233,8,291,"Supplier C"
"Yoga Mat","SKU000419","8901234000419","Books & Media","High quality yoga mat - Books & Media",697,562,356,19,381,"Supplier B"
"Basketball","SKU000420","8901234000420","Home & Kitchen","High quality basketball - Home & Kitchen",1401,881,474,16,145,"Wholesale Dist"
"Coffee","SKU000421","8901234000421","Furniture","High quality coffee - Furniture",558,286,327,19,421,"Premium Supplier"
"Eraser","SKU000422","8901234000422","Books & Media","High quality eraser - Books & Media",984,643,408,19,464,"Import Company"
"Glass","SKU000423","8901234000423","Musical Instruments","High quality glass - Musical Instruments",877,631,271,14,337,"Regional Distributor"
"Action Figure","SKU000424","8901234000424","Jewelry","High quality action figure - Jewelry",188,138,161,14,173,"Import Company"
"Headphones","SKU000425","8901234000425","Musical Instruments","High quality headphones - Musical Instruments",1433,783,403,17,401,"Local Vendor"
"Newspaper","SKU000426","8901234000426","Toys & Games","High quality newspaper - Toys & Games",1276,945,385,12,144,"Bulk Distributor"
"Building Blocks","SKU000427","8901234000427","Toys & Games","High quality building blocks - Toys & Games",1386,845,78,16,463,"Supplier C"
"Badminton Racket","SKU000428","8901234000428","Groceries","High quality badminton racket - Groceries",153,86,179,18,427,"Regional Distributor"
"Board Game","SKU000429","8901234000429","Musical Instruments","High quality board game - Musical Instruments",1221,954,294,12,225,"Wholesale Dist"
"Cricket Bat","SKU000430","8901234000430","Clothing","High quality cricket bat - Clothing",430,344,435,6,468,"Regional Distributor"
"Smartphone","SKU000431","8901234000431","Stationery","High quality smartphone - Stationery",649,403,238,15,212,"Bulk Distributor"
"Smartphone","SKU000432","8901234000432","Clothing","High quality smartphone - Clothing",1091,727,450,11,429,"Supplier B"
"Bowl","SKU000433","8901234000433","Jewelry","High quality bowl - Jewelry",521,375,371,10,187,"Supplier B"
"Building Blocks","SKU000434","8901234000434","Electronics","High quality building blocks - Electronics",608,405,278,9,295,"Import Company"
"Tea","SKU000435","8901234000435","Toys & Games","High quality tea - Toys & Games",491,396,163,20,169,"Supplier C"
"Shampoo","SKU000436","8901234000436","Home & Kitchen","High quality shampoo - Home & Kitchen",144,120,483,11,202,"Bulk Distributor"
"Jacket","SKU000437","8901234000437","Health & Wellness","High quality jacket - Health & Wellness",1375,716,413,8,409,"Direct Manufacturer"
"Shampoo","SKU000438","8901234000438","Clothing","High quality shampoo - Clothing",959,574,298,15,433,"Supplier A"
"Tea","SKU000439","8901234000439","Pet Supplies","High quality tea - Pet Supplies",371,204,255,9,353,"Regional Distributor"
"Doll","SKU000440","8901234000440","Beauty & Personal Care","High quality doll - Beauty & Personal Care",259,175,490,6,204,"Local Vendor"
"Badminton Racket","SKU000441","8901234000441","Electronics","High quality badminton racket - Electronics",384,302,141,16,175,"Supplier C"
"Underwear","SKU000442","8901234000442","Electronics","High quality underwear - Electronics",1328,897,334,12,441,"Supplier B"
"Speaker","SKU000443","8901234000443","Books & Media","High quality speaker - Books & Media",450,341,448,20,200,"Supplier C"
"USB Cable","SKU000444","8901234000444","Sports & Outdoors","High quality usb cable - Sports & Outdoors",1105,658,358,10,157,"Wholesale Dist"
"Toothpaste","SKU000445","8901234000445","Electronics","High quality toothpaste - Electronics",435,286,265,16,451,"Local Vendor"
"Soap","SKU000446","8901234000446","Health & Wellness","High quality soap - Health & Wellness",430,247,384,12,323,"Supplier B"
"Dal","SKU000447","8901234000447","Clothing","High quality dal - Clothing",991,583,233,15,183,"Local Vendor"
"Building Blocks","SKU000448","8901234000448","Books & Media","High quality building blocks - Books & Media",1158,965,152,20,432,"Import Company"
"Desk","SKU000449","8901234000449","Musical Instruments","High quality desk - Musical Instruments",445,345,277,18,113,"Direct Manufacturer"
"Fruits","SKU000450","8901234000450","Musical Instruments","High quality fruits - Musical Instruments",1331,783,493,12,303,"Bulk Distributor"
"Vegetables","SKU000451","8901234000451","Clothing","High quality vegetables - Clothing",592,470,6,6,205,"Supplier A"
"RC Car","SKU000452","8901234000452","Clothing","High quality rc car - Clothing",829,605,100,15,261,"Wholesale Dist"
"Rice","SKU000453","8901234000453","Jewelry","High quality rice - Jewelry",1626,879,222,14,254,"Regional Distributor"
"Desk","SKU000454","8901234000454","Beauty & Personal Care","High quality desk - Beauty & Personal Care",130,70,379,16,218,"Supplier B"
"Ruler","SKU000455","8901234000455","Beauty & Personal Care","High quality ruler - Beauty & Personal Care",993,752,475,7,367,"Wholesale Dist"
"Bread","SKU000456","8901234000456","Beauty & Personal Care","High quality bread - Beauty & Personal Care",82,57,96,12,311,"Import Company"
"Badminton Racket","SKU000457","8901234000457","Groceries","High quality badminton racket - Groceries",1135,742,435,10,310,"Regional Distributor"
"Towel","SKU000458","8901234000458","Groceries","High quality towel - Groceries",1455,750,141,17,355,"Supplier C"
"Novel","SKU000459","8901234000459","Stationery","High quality novel - Stationery",90,74,308,11,245,"Supplier A"
"Smartphone","SKU000460","8901234000460","Clothing","High quality smartphone - Clothing",387,248,42,19,375,"Supplier C"
"Wireless Mouse","SKU000461","8901234000461","Clothing","High quality wireless mouse - Clothing",658,467,339,10,107,"Direct Manufacturer"
"Jacket","SKU000462","8901234000462","Health & Wellness","High quality jacket - Health & Wellness",972,720,92,10,439,"Direct Manufacturer"
"Headphones","SKU000463","8901234000463","Furniture","High quality headphones - Furniture",1394,840,37,11,270,"Wholesale Dist"
"Newspaper","SKU000464","8901234000464","Books & Media","High quality newspaper - Books & Media",730,437,397,19,483,"Bulk Distributor"
"Vegetables","SKU000465","8901234000465","Beauty & Personal Care","High quality vegetables - Beauty & Personal Care",1273,843,88,10,477,"Supplier B"
"Bedsheet","SKU000466","8901234000466","Home & Kitchen","High quality bedsheet - Home & Kitchen",138,83,258,18,494,"Direct Manufacturer"
"Glass","SKU000467","8901234000467","Furniture","High quality glass - Furniture",349,291,118,18,330,"Local Vendor"
"Desk","SKU000468","8901234000468","Pet Supplies","High quality desk - Pet Supplies",916,689,472,6,404,"Premium Supplier"
"Ruler","SKU000469","8901234000469","Electronics","High quality ruler - Electronics",922,527,314,8,335,"Supplier B"
"Speaker","SKU000470","8901234000470","Toys & Games","High quality speaker - Toys & Games",1268,750,259,15,451,"Bulk Distributor"
"Magazine","SKU000471","8901234000471","Stationery","High quality magazine - Stationery",198,135,128,17,239,"Supplier C"
"Basketball","SKU000472","8901234000472","Sports & Outdoors","High quality basketball - Sports & Outdoors",754,379,9,18,449,"Premium Supplier"
"Novel","SKU000473","8901234000473","Books & Media","High quality novel - Books & Media",1137,702,500,18,150,"Supplier C"
"Whisk","SKU000474","8901234000474","Musical Instruments","High quality whisk - Musical Instruments",899,555,255,13,447,"Supplier C"
"T-Shirt","SKU000475","8901234000475","Jewelry","High quality t-shirt - Jewelry",666,493,92,15,251,"Wholesale Dist"
